s01|1|STRANGE|machine limb assemblage|abstract mechanical mass, nothing nameable
s01|2|OBVIOUS|white rat|textbook lab rat, instant
s01|3|OBVIOUS|cow|plain brown cow silhouette
s01|4|OBVIOUS|butterfly|purple butterfly, instantly named
s01|5|OBVIOUS|deer|antlered white deer, instant
s01|6|OBVIOUS|white rat|identical rat sprite, instant
s01|7|BORDERLINE|microscope amoeba|reads as a cell, alien at colony scale
s01|8|BORDERLINE|microscope amoeba|same amoeba art, size variant
s01|9|BORDERLINE|microscope amoeba|same amoeba art, size variant
s01|10|STRANGE|glowing orb with skirt|no terrestrial referent
s01|11|STRANGE|mushroom-covered rock|fungal lump, unnameable as animal
s01|12|STRANGE|mushroom-covered rock|fungal lump, unnameable as animal
s01|13|BORDERLINE|ornate moth|moth shape but heavily alien-styled
s01|14|OBVIOUS|caterpillar|plain segmented caterpillar
s01|15|STRANGE|walking tree stump|plant-beast hybrid, no referent
s01|16|STRANGE|clawed brown lump|silhouette unreadable
s01|17|STRANGE|white wisp|abstract feathered smear
s01|18|BORDERLINE|fluffy white beast|vaguely feline but abstract
s01|19|BORDERLINE|red crustacean|reads shrimp/scorpion-ish
s01|20|STRANGE|feathered anemone|no referent
s01|21|STRANGE|armoured husk|unreadable form
s01|22|BORDERLINE|dark bug|generic insect blob
s01|23|BORDERLINE|armoured saurian|reads as armoured dinosaur-beast
s01|24|STRANGE|smooth dark blob|no readable features
s02|1|STRANGE|dark segmented husk|silhouette unreadable
s02|2|STRANGE|dark lump|no spider legs visible, unreadable
s02|3|STRANGE|white spiny grub|no terrestrial referent
s02|4|STRANGE|white spiny grub|no terrestrial referent
s02|5|BORDERLINE|small red crustacean|shrimp-ish but tiny and odd
s02|6|BORDERLINE|bee with skull head|bee body obvious, skull head alienates
s02|7|STRANGE|boulder with legs|rock-creature, unnameable
s02|8|OBVIOUS|wasp|striped wings and stinger, instant
s02|9|OBVIOUS|wasp|clearly a wasp with jaws
s02|10|OBVIOUS|bumblebee|striped fuzzy bee, instant
s02|11|STRANGE|green blade-thing|no referent
s02|12|OBVIOUS|yak or bison|shaggy horned bovine, instant
s02|13|STRANGE|grey clawed arthropod|unplaceable
s02|14|STRANGE|molten rock beast|unplaceable
s02|15|BORDERLINE|jellyfish|orb with tentacles reads jellyfish
s02|16|BORDERLINE|beetle grub|generic insect, semi-readable
s02|17|OBVIOUS|lizard or iguana|plain lizard profile
s02|18|STRANGE|crystal shard creature|no referent
s02|19|BORDERLINE|pink finned cat|feline hint, heavily alien colouring
s02|20|BORDERLINE|black rat|rodent-ish lump, ambiguous
s02|21|STRANGE|spiny black mass|unreadable
s02|22|OBVIOUS|dragon|winged green dragon, instant
s02|23|BORDERLINE|large bird|long-necked bird, chocobo-like
s02|24|BORDERLINE|horned sheep|ram head on abstract red cloud
s03|1|OBVIOUS|butterfly|classic butterfly wings, instant
s03|2|OBVIOUS|caterpillar|segmented larva, instant
s03|3|STRANGE|shelled grub|armoured crawler, no referent
s03|4|STRANGE|shelled grub|armoured crawler, no referent
s03|5|STRANGE|flat dark crawler|unreadable silhouette
s03|6|BORDERLINE|rat|rodent shape, very simplified
s03|7|OBVIOUS|butterfly|instantly a butterfly
s03|8|OBVIOUS|caterpillar|instantly a caterpillar
s03|9|STRANGE|tentacled gore mass|no referent
s03|10|OBVIOUS|crocodile|crocodilian jaw and body, instant
s03|11|STRANGE|giant eye with tentacles|alien, unnameable
s03|12|BORDERLINE|spider|leggy brown spider-ish body
s03|13|BORDERLINE|spider|same spider form, larger
s03|14|OBVIOUS|wasp|clear wasp anatomy
s03|15|OBVIOUS|mouse or rabbit|big-eared white rodent
s03|16|OBVIOUS|mouse or rabbit|same rodent art
s03|17|OBVIOUS|mouse or rabbit|same rodent art
s03|18|OBVIOUS|flamingo|unmistakable flamingo
s03|19|BORDERLINE|white bird|generic feathered bird
s03|20|OBVIOUS|lynx or cat|spotted cat, instant
s03|21|STRANGE|ice mass|unreadable icy hulk
s03|22|STRANGE|shaggy white lump|no referent
s03|23|STRANGE|ice shard|abstract wedge
s03|24|STRANGE|fungus-covered corpse|grotesque, unnameable
s04|1|BORDERLINE|white ape-ox hulk|massive but hard to name
s04|2|BORDERLINE|white ape-ox hulk|same art, decayed variant
s04|3|BORDERLINE|striped rodent-lizard|hybrid, not cleanly nameable
s04|4|OBVIOUS|cassowary|big blue-necked ratite, instant
s04|5|STRANGE|tan tentacled mass|unreadable
s04|6|STRANGE|orange spiked maw|no referent
s04|7|BORDERLINE|slime blob|familiar game trope, not terrestrial
s04|8|OBVIOUS|ram or sheep|curled horns, instant
s04|9|OBVIOUS|large rodent|beaver or capybara, instant
s04|10|STRANGE|flat spotted worm|unplaceable
s04|11|STRANGE|red orb creature|no referent
s04|12|STRANGE|grey armoured lump|unreadable
s04|13|STRANGE|green clawed crawler|unplaceable
s04|14|BORDERLINE|pink grub|reads as maggot or grub
s04|15|BORDERLINE|toothy green fish|whale or fish-ish
s04|16|BORDERLINE|flying insect|tiny sprite, generic fly
s04|17|STRANGE|grey pincered insect|unplaceable
s04|18|STRANGE|purple lump|no features
s04|19|STRANGE|carnivorous plant|plant, not nameable species
s04|20|STRANGE|red gore mass|no referent
s04|21|OBVIOUS|bird|clear blue bird silhouette
s04|22|STRANGE|dark humped bug|unreadable
s04|23|STRANGE|purple tendrilled grub|unplaceable
s04|24|STRANGE|black shadow with eye|abstract
s05|1|STRANGE|dark tailed blob|unreadable
s05|2|STRANGE|walking mushroom mound|no referent
s05|3|STRANGE|green stalk|abstract
s05|4|STRANGE|spiky green ball|abstract
s05|5|OBVIOUS|black bird|raven or crow silhouette
s05|6|STRANGE|dark low quadruped|features unreadable
s05|7|STRANGE|dark crouching shape|unreadable
s05|8|STRANGE|dark crouching shape|unreadable
s05|9|STRANGE|eyed red mass|no referent
s05|10|STRANGE|eyed red crawler|no referent
s05|11|STRANGE|mound carrying trees|no referent
s05|12|BORDERLINE|hermit crab|rock plus red claws suggests hermit crab
s05|13|BORDERLINE|slim hound|greyhound-ish but odd head
s05|14|OBVIOUS|cat|clean housecat silhouette
s05|15|OBVIOUS|slug or snail|slug body with shell frill
s05|16|OBVIOUS|yak|shaggy horned bovine
s05|17|STRANGE|bladed arthropod|unplaceable
s05|18|STRANGE|grey clawed beast|unreadable
s05|19|STRANGE|toothy white ray|no referent
s05|20|STRANGE|spiked tan crawler|unplaceable
s05|21|BORDERLINE|slime blob|game-trope slime
s05|22|STRANGE|fungal tentacle stalk|no referent
s05|23|BORDERLINE|pale maw-beast|dog-ish but heavily distorted
s05|24|OBVIOUS|monitor lizard|clear lizard body plan
s06|1|OBVIOUS|bird|clear beaked feathered bird
s06|2|BORDERLINE|tan big cat|lion-ish but crude and flat
s06|3|STRANGE|pale flat crawler|unreadable
s06|4|STRANGE|translucent finned thing|no referent
s06|5|BORDERLINE|dark horned bull|bovine hint, mostly shadow
s06|6|OBVIOUS|goat|horned goat, instant
s06|7|BORDERLINE|green lizard-dog|hybrid, not cleanly named
s06|8|BORDERLINE|eel|serpentine eel form
s06|9|STRANGE|grey segmented crawler|unplaceable
s06|10|OBVIOUS|butterfly|small but clearly a butterfly
s06|11|BORDERLINE|shelled quadruped|snail-goat hybrid, odd
s06|12|STRANGE|mountain with claws|no referent
s06|13|STRANGE|small orange blob|no features
s06|14|STRANGE|tentacled maw|no referent
s06|15|STRANGE|rock sprouting hands|no referent
s06|16|STRANGE|blue frilled creature|unplaceable
s06|17|STRANGE|abstract shelled thing|unreadable
s06|18|STRANGE|segmented worm|abstract
