# Trait catalog — every TraitDef degree on the live modlist
# source: defs.sqlite mods=582/d1be0632 captured=2026-08-29 (decays with the modlist; regenerate from the dump)
# columns: defName<TAB>degree<TAB>label<TAB>mod<TAB>stat effects (empty = no stat data in dump: mood/thought/special mechanics)
# excluded from faction pools by ruling: ISEKAI (leveling layer), Minotaur/Medieval/VQE-Ancients/Archon (cut 2026-08-29)
VFEP_WarcasketTrait_Mech	0	mech warcasket	None	
ABF_Trait_Synstruct_BiologicalPreference	1	biophile	ABF: Synstructs Core	AnimalsLearningFactor+0.4000000059604645,BondAnimalChanceFactor+1
ABF_Trait_Synstruct_BiologicalPreference	-1	biophobe	ABF: Synstructs Core	AnimalsLearningFactor+-0.4000000059604645,BondAnimalChanceFactorx0
AG_Beauty	2	angelic beauty	Alpha Genes	PawnBeauty+3
AG_Beauty	-2	repulsive	Alpha Genes	PawnBeauty+-3
AM_Ahimsa	0	vow of nonviolence	Alpha Memes	
AM_Elite	0	Successful products	Ancient urban ruins	IncomingDamageFactorx0.6000000238418579,AimingDelayFactorx0.75,ShootingAccuracyPawnx1.0499
AM_MallGuards	0	fashion guy	Ancient urban ruins	IncomingDamageFactorx0.699999988079071,AimingDelayFactorx0.009999999776482582,ShootingAccu
AM_Slaughter	0	parasitic failed product	Ancient urban ruins	MeleeDodgeChance+50,MeleeHitChance+-10.5,MeleeDamageFactor+3,ComfyTemperatureMin+-50,Incom
BodyMastery	0	body mastery	Anomaly	
Disturbing	0	disturbing	Anomaly	
Joyous	0	joyous	Anomaly	
Occultist	0	occultist	Anomaly	StudyEfficiency+1,EntityStudyRate+0.5
PerfectMemory	0	perfect memory	Anomaly	
VoidFascination	0	void fascination	Anomaly	
AngelBeauty	0	Angelic beauty	Betures	Beauty+3
IronImmunity	0	Iron Immunity	Betures	ImmunityGainSpeedx1.7999999523162842,ToxicResistancex1.2000000476837158,Medicine+4
Megachuv	0	Hypersensitive	Betures	PsychicSensitivity+1.2000000476837158
NotToughBoom	0	Very Fragile	Betures	IncomingDamageFactorx1.25
SmartSoc	0	Manipulator	Betures	TradePriceImprovement+0.3499999940395355,SocialImpact+1,NegotiationAbility+0.5,Social+12,I
Unkillable	0	Unkillable	Betures	IncomingDamageFactorx0.25
VeryUgly	0	Extremely ugly	Betures	Beauty+-3
goodanimals	0	Animal Lover	Betures	TameAnimalChancex2,TrainAnimalChancex2,Animals+8,Social+4
goodplants	0	Botanist	Betures	PlantWorkSpeedx1.7999999523162842,PlantHarvestYieldx1.7999999523162842,Plants+8,Crafting+2
levitator	0	Levitator	Betures	MoveSpeedx2
BS_Giant	0	giant	Big and Small - Framework	
BS_AlcoholAddict	0	alcohol lover	Big and Small - Genes & More	MentalBreakThreshold+0.10000000149011612,JoyGainFactorx1.5
BS_AnimalFriend	0	Animal Friend	Big and Small - Genes & More	
BS_Gentle	0	gentle	Big and Small - Genes & More	MentalBreakThreshold+-0.20000000298023224
BS_InsultProof	0	uninsultable	Big and Small - Genes & More	
BS_Unpretentious	0	Unpretentious	Big and Small - Genes & More	
Dwarfism	0	dwarfism	Big and Small - Genes & More	SM_BodySizeMultiplierx0.6000000238418579,MiningSpeedx0.75,ConstructionSpeedx0.75,DeepDrill
Gigantism	0	gigantism	Big and Small - Genes & More	SM_BodySizeMultiplierx1.2999999523162842,ConstructionSpeedx1.100000023841858,MoveSpeedx0.8
Large	0	large	Big and Small - Genes & More	SM_BodySizeMultiplierx1.149999976158142,ConstructionSpeedx1.0499999523162842,MoveSpeedx0.9
Passioned_Learning	0	diligent student	Big and Small - Genes & More	SM_Minimum_Learning_Speed+0.3499999940395355,GlobalLearningFactor+0.15000000596046448
Small	0	small	Big and Small - Genes & More	SM_BodySizeMultiplierx0.800000011920929,MiningSpeedx0.949999988079071,ConstructionSpeedx0.
Very_Passioned_Learning	0	very diligent student	Big and Small - Genes & More	SM_Minimum_Learning_Speed+0.6499999761581421,GlobalLearningFactor+0.30000001192092896
Delicate	0	delicate	Biotech	IncomingDamageFactorx1.149999976158142
Recluse	0	recluse	Biotech	
Abrasive	0	abrasive	Core	CertaintyLossFactorx0.5
AnnoyingVoice	0	annoying voice	Core	
Ascetic	0	ascetic	Core	SEX_IntimacyNeedRate+-0.5,CertaintyLossFactorx0.5
Asexual	0	asexual (aro)	Core	
Beauty	2	beautiful	Core	PawnBeauty+2
Beauty	1	pretty	Core	PawnBeauty+1
Beauty	-1	ugly	Core	PawnBeauty+-1
Beauty	-2	staggeringly ugly	Core	PawnBeauty+-2
Bisexual	0	bisexual	Core	
Bloodlust	0	bloodlust	Core	
BodyPurist	0	body purist	Core	
Brawler	0	brawler	Core	MeleeHitChance+4,Melee+4,Shooting-10,special
Cannibal	0	cannibal	Core	
CreepyBreathing	0	creepy breathing	Core	
DislikesMen	0	misandrist	Core	
DislikesWomen	0	misogynist	Core	
DrugDesire	2	chemical fascination	Core	
DrugDesire	1	chemical interest	Core	
DrugDesire	-1	teetotaler	Core	
FastLearner	0	fast learner	Core	GlobalLearningFactor+0.75
Gay	0	gay	Core	
Gourmand	0	gourmand	Core	Cooking+4
GreatMemory	0	great memory	Core	
Greedy	0	greedy	Core	
Immunity	1	super-immune	Core	ImmunityGainSpeed+0.30000001192092896
Immunity	-1	sickly	Core	Medicine+4
Industriousness	2	industrious	Core	WorkSpeedGlobal+0.3499999940395355
Industriousness	1	hard worker	Core	WorkSpeedGlobal+0.20000000298023224
Industriousness	-1	lazy	Core	WorkSpeedGlobal+-0.20000000298023224
Industriousness	-2	slothful	Core	WorkSpeedGlobal+-0.3499999940395355
Jealous	0	jealous	Core	
Kind	0	kind	Core	CertaintyLossFactorx2,SEX_IntimacyNeedRatex1.25
Masochist	0	masochist	Core	
NaturalMood	2	sanguine	Core	
NaturalMood	1	optimist	Core	
NaturalMood	-1	pessimist	Core	
NaturalMood	-2	depressive	Core	
Nerves	2	iron-willed	Core	MentalBreakThreshold+-0.18000000715255737,CertaintyLossFactorx0.25
Nerves	1	steadfast	Core	MentalBreakThreshold+-0.09000000357627869,CertaintyLossFactorx0.5
Nerves	-1	nervous	Core	MentalBreakThreshold+0.07999999821186066,CertaintyLossFactorx2
Nerves	-2	volatile	Core	MentalBreakThreshold+0.15000000596046448,CertaintyLossFactorx3
Neurotic	1	neurotic	Core	WorkSpeedGlobal+0.20000000298023224,MentalBreakThreshold+0.07999999821186066
Neurotic	2	very neurotic	Core	WorkSpeedGlobal+0.4000000059604645,MentalBreakThreshold+0.14000000059604645
NightOwl	0	night owl	Core	
Nimble	0	nimble	Core	MeleeDodgeChance+15,PawnTrapSpringChancex0.10000000149011612
Nudist	0	nudist	Core	
PsychicSensitivity	2	psychically hypersensitive	Core	PsychicSensitivity+0.800000011920929
PsychicSensitivity	1	psychically sensitive	Core	PsychicSensitivity+0.4000000059604645
PsychicSensitivity	-1	psychically dull	Core	PsychicSensitivity+-0.5
PsychicSensitivity	-2	psychically deaf	Core	PsychicSensitivity+-1
Psychopath	0	psychopath	Core	CertaintyLossFactorx0.5
Pyromaniac	0	pyromaniac	Core	
QuickSleeper	0	quick sleeper	Core	RestRateMultiplier+0.5
ShootingAccuracy	1	careful shooter	Core	AimingDelayFactor+0.25,ShootingAccuracyPawn+5
ShootingAccuracy	-1	trigger-happy	Core	AimingDelayFactor+-0.5,ShootingAccuracyPawn+-5
SlowLearner	0	slow learner	Core	GlobalLearningFactor+-0.75,CertaintyLossFactorx0.5
SpeedOffset	-1	slowpoke	Core	MoveSpeed+-0.20000000298023224,special
SpeedOffset	1	fast walker	Core	MoveSpeed+0.20000000298023224
SpeedOffset	2	jogger	Core	MoveSpeed+0.4000000059604645
TooSmart	0	too smart	Core	GlobalLearningFactor+0.75,MentalBreakThreshold+0.11999999731779099,CertaintyLossFactorx0.5
TorturedArtist	0	tortured artist	Core	
Tough	0	tough	Core	IncomingDamageFactorx0.5
Transhumanist	0	body modder	Core	
Undergrounder	0	undergrounder	Core	
Wimp	0	wimp	Core	PainShockThreshold+-0.5,CertaintyLossFactorx2
Hygienic	2	germaphobe	Dubs Bad Hygiene Lite	
Hygienic	1	hygienic	Dubs Bad Hygiene Lite	
Hygienic	-1	unhygienic	Dubs Bad Hygiene Lite	
Hygienic	-2	slob	Dubs Bad Hygiene Lite	
HAR_Xenophobia	1	xenophobe	Humanoid Alien Races	
